NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
500143264;KZN;EZIGQIZWENI SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;31,9321;-28,4465;Mfolozi Local Municipality;EZIDONINI;;KWAMTHETHWA TRIBAL AUTHORITY;;KWESAKWAMTETHETHWA,ENTUTHUNGA,EMPANGENI,3880;Q1;1/3/1900;YES;RURAL;321;11
500143301;KZN;EZIJIBENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;30,8572;-28,6881;Nkandla Local Municipality;MATSHEMADE;;;;EZIJIBENI,NKANDLA,3855;Q1;1/3/1900;YES;RURAL;63;4
500143338;KZN;EZILOZINI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;30,9063;-28,8342;Nkandla Local Municipality;EZILOZINI;;EZILOZINI;;EZILOZINI ROAD,EZILOZINI,KRANSKOP,3268;Q1;1/3/1900;YES;RURAL;80;4
500143375;KZN;EZIMAMBENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;KING CETSHWAYO;;GOVERNMENT;GOVERNMENT;30,9976;-28,6131;Nkandla Local Municipality;EZIMAMBENI;;NKANDLA;;AMAPHUTHU TRIBAL AUTHORITY,NKANDLA,3855;Q1;1/3/1900;YES;RURAL;111;4
500143413;KZN;EZIMBIDLENI  PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;UMKHANYAKUDE;;TRUST LAND;GOVERNMENT;32,2031;-27,7589;Jozini Local Municipality;FAKUDE;;;;1887 D SECTION,UMKHUZE,MKHUZE,3965;Q2;1/3/1900;YES;RURAL;554;16
500143449;KZN;EZIMPAKANENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ZULULAND;;GOVERNMENT;GOVERNMENT;31,516;-28,0532;Nongoma Local Municipality;KWADAYENI;;EZIMPAKANENI AREA;;EZIMPAKANENI AREA,NONGOMA,3950;Q1;1/3/1900;YES;RURAL;455;15
500143486;KZN;EZIMPONDWENI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ILEMBE;;TRUST LAND;GOVERNMENT;30,806;-29,5671;Ndwedwe Local Municipality;SHANGASE VILLAGE;;KWASHANGASE TRIBAL AUTHORITY;;KWA-SHANGASE TRIBAL AUTHORITY,NDWEDWE,DURBAN,4310;Q1;1/3/1900;YES;RURAL;131;5
500143523;KZN;EZINCWADINI PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;AMAJUBA;;GOVERNMENT;GOVERNMENT;30,0441;-27,7488;Newcastle Local Municipality;MADADENI 4;;MADADENI;;73054 D MANADENI SECTION,MADADENI,NEWCASTLE,2951;Q3;1/3/1900;YES;URBAN;237;9
500143560;KZN;EZINDLOVINI  PRIMARY  SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;PRIMARY SUBJECTS;ILEMBE;;GOVERNMENT;GOVERNMENT;31,0167;-29,5418;Ndwedwe Local Municipality;UMSINDUZI MISSION RESERVE;;NDWEDWE;;NDWEDWE MAIN ROAD,VERULAM,4342;Q3;1/3/1900;YES;RURAL;1152;35
500143634;KZN;EZINQOLENI SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;SECONDARY SUBJECTS;UGU;;GOVERNMENT;GOVERNMENT;30,1339;-30,7907;Ray Nkonyeni Local Municipality;DLOVINGA;;IZINGOLWENI;;KWASHOBASHOBANE WARD,IZINGOLWENI,PORT SHEPSTONE,4260;Q2;1/3/1900;YES;RURAL;1441;37
