NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
443104062;FS;TUMELANO IF/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;XHARIEP;3;GOVERNMENT;GOVERNMENT;25,65431058;-28,89447973;Letsemeng;Petrusburg NU;Abrahamskraal Farm;Abrahamskraal Farm;PETRUSBURG;ABRAHAMSKRAAL FARM, Abrahamskraal Farm, Abrahamskraal Farm, PETRUSBURG, 9338;Q1;NULL;YES;Rural;81;5
443104127;FS;INOSENG  P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;XHARIEP;3;GOVERNMENT;GOVERNMENT;25,42309528;-29,12476275;Letsemeng;Petrusburg NU;Bolokanang;Bolokanang;PETRUSBURG;2 Boiketlo Street, Bolokanang, Bolokanang, PETRUSBURG, 9932;Q1;NULL;YES;Urban;1508;40
443104215;FS;AJC JOOSTE C/S;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;XHARIEP;3;GOVERNMENT;GOVERNMENT;25,41701314;-29,11126647;Letsemeng;Petrusburg NU;;;PETRUSBURG;OSSEWASTRAAT 38, , , PETRUSBURG, 9932;Q1;NULL;YES;Urban;385;18
443104274;FS;IPETLENG S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;XHARIEP;3;GOVERNMENT;GOVERNMENT;25,42584365;-29,12645798;Letsemeng;Petrusburg NU;Bolokanang;Bolokanang;PETRUSBURG;1107 Selemela Street, Bolokanang, Bolokanang, PETRUSBURG, 9932;Q1;NULL;YES;Urban;684;25
443104276;FS;PETRUSBURG CHRISTIAN ACADEMY CI/S;OPEN;INDEPENDENT;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;XHARIEP;3;INDEPENDENT;INDEPENDENT;25,41055913;-29,11578482;Letsemeng;Petrusburg SP;;;PETRUSBURG;Venterstr. 20, , , PETRUSBURG, 9932;N/A;NULL;NO;Urban;44;5
443203108;FS;PHILIPPOLIS P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;XHARIEP;2;GOVERNMENT;GOVERNMENT;25,28529728;-30,26032579;Kopanong;Phillipolis SP;PODING-TSE-ROLO;PODING-TSE-ROLO;PHILIPPOLIS;184 SCHOOL STREET, PODING-TSE-ROLO, PODING-TSE-ROLO, PHILIPPOLIS, 9970;Q3;NULL;YES;Urban;338;13
443203190;FS;PHILIPPOLIS S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;XHARIEP;2;GOVERNMENT;GOVERNMENT;25,26765844;-30,25985077;Kopanong;Bergmanshoogte;PHILIPPOLIS;PHILIPPOLIS;PHILIPPOLIS;18. SCHOOL STREET, PHILIPPOLIS, PHILIPPOLIS, PHILIPPOLIS, 9970;Q2;NULL;YES;Urban;340;16
443203219;FS;BERGMANSHOOGTE I/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;XHARIEP;2;GOVERNMENT;GOVERNMENT;25,27213064;-30,27718447;Kopanong;Phillipolis SP;BERGMANSHOOGTE;BERGMANSHOOGTE;PHILIPPOLIS;ARENDWEG 1, BERGMANSHOOGTE, BERGMANSHOOGTE, PHILIPPOLIS, 9970;Q3;NULL;YES;Urban;366;15
443203224;FS;ORANJEKRAG C/S;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;XHARIEP;2;GOVERNMENT;GOVERNMENT;25,50807205;-30,58146741;Kopanong;Phillipolis NU;;;GARIEPDAM;HYDRO PARK, , , GARIEPDAM, 9922;Q3;NULL;YES;Urban;507;23
443303110;FS;BEANG TSE MOLEMO S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;XHARIEP;2;GOVERNMENT;GOVERNMENT;26,15253533;-29,65234428;Kopanong;Reddersburg SP;MATOPORONG;MATOPORONG;REDDERSBURG;832 KHUTSO STREET, MATOPORONG, MATOPORONG, REDDERSBURG, 9904;Q3;NULL;YES;Urban;414;15
443303199;FS;HENDRIK POTGIETER A/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;AGRICULTURAL;XHARIEP;2;GOVERNMENT;GOVERNMENT;26,17244779;-29,64908928;Kopanong;Reddersburg NU;;;REDDERSBURG;Voortrekkerstraat 8, , , REDDERSBURG, 9904;Q4;NULL;NO;Urban;355;21
443303241;FS;ITEMELENG P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;XHARIEP;2;GOVERNMENT;GOVERNMENT;26,16174296;-29,65473172;Kopanong;Qhoweng SP;MATOPORONG;MATOPORONG;REDDERSBURG;821 LESEDI STREET, MATOPORONG, MATOPORONG, REDDERSBURG, 9904;Q3;NULL;YES;Urban;854;30
443410080;FS;PHINDUZAME P/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,44944044;-27,80148313;Nketoana;Reitz NU;Petsana Location;Petsana Location;REITZ;1596 Petsana, Petsana Location, Petsana Location, REITZ, 9810;Q2;NULL;YES;Urban;1327;39
443410102;FS;LEIFO IZIKO C/S;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,4452676;-27,80933278;Nketoana;Reitz NU;PETSANA;PETSANA;REITZ;632 PETSANA, PETSANA, PETSANA, REITZ, 9810;Q2;NULL;YES;Urban;1563;49
443410184;FS;REATILE I/S;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,45198684;-27,80723885;Nketoana;Reitz NU;Petsana;Petsana;REITZ;2370 , Petsana, Petsana, REITZ, 9810;Q2;NULL;YES;Urban;850;27
443410186;FS;KGOTSO-UXOLO S/S;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,46009711;-27,80133381;Nketoana;Reitz NU;PETSANA;PETSANA;REITZ;2910 , PETSANA, PETSANA, REITZ, 9810;Q2;NULL;YES;Urban;1060;31
443410203;FS;KLEINWATER PF/S;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;THABO MOFUTSANYANA;6;GOVERNMENT;GOVERNMENT;28,38371956;-27,9386466;Nketoana;Reitz NU;Reitz;Reitz;REITZ;Kleinhaaks Farm, Reitz, Reitz, REITZ, 9810;Q1;NULL;YES;Rural;99;5
