NatEmis;Province;Official_Institution_Name;Status;Sector;Type_DoE;Phase_PED;Specialisation;EIDistrict;EICircuit;OwnerLand;OwnerBuild;GIS_Longitude;GIS_Latitude;LMunName;SP_Name;Township_Village;Suburb;Town_City;StreetAddress;Quintile;Registration_Date;NoFeeSchool;Urban_Rural;Learners2023;Educators2023
300015403;NC;KIMBERLEY BOYS HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,74938;24,7686;SOL PLAATJIE LOCAL MUNICIPALITY;MEMORIAL ROAD AREA;.;BELGRAVIA;KIMBERLEY;DALHAM AND MEMORIAL STREET, BELGRAVIA, KIMBERLEY, 8301;Q5;;NO;URBAN;867;40
300015404;NC;PESCODIA SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,6674;24,72591;SOL PLAATJIE LOCAL MUNICIPALITY;.;.;PESCODIA;KIMBERLEY;53 ALBATROSS STREET, ROODEPAN, KIMBERLEY, 8309;Q3;;NO;RURAL;876;30
300015405;NC;TSHIRELECO SECONDARY PUBLIC SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,72118;24,752;SOL PLAATJIE LOCAL MUNICIPALITY;CHINA SQUARE;.;GALESHEWE;KIMBERLEY;299 ETHEL STREET, HOMESTEAD, KIMBERLEY, 8330;Q2;;YES;URBAN;703;24
300015406;NC;DR EP LEKHELA SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7125;24,70883;SOL PLAATJIE LOCAL MUNICIPALITY;PHOMOLONG;VERGENOEG;MANKURWANE;KIMBERLEY;461 MOSMAMO STREET, RETSWELELE, KIMBERLEY, 8345;Q2;;NO;URBAN;668;22
300016201;NC;AALWYN INTERMEDIÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-28,79786;23,7265;SIYANCUMA LOCAL MUNICIPALITY;.;.;.;CAMPBELL;1 SCHOOL STREET, EXTENSION, CAMPBELL, 8360;Q2;;YES;RURAL;412;14
300016202;NC;ANDERSON PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-28,85675;23,24616;SIYANCUMA LOCAL MUNICIPALITY;.;RAINBOWVALLEY;.;GRIEKWASTAD;45 WATERBOER STREET, RAINBOW VALLEY, GRIEKWASTAD, 8365;Q2;;YES;RURAL;914;28
300016203;NC;GROENPUNT PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7788;24,77193;SOL PLAATJIE LOCAL MUNICIPALITY;GREENPOINT;.;GREENPOINT;KIMBERLEY;73 DUTCH REFORM ROAD, GREENPOINT, KIMBERLEY, 8515;Q3;;NO;URBAN;1407;40
300016206;NC;TSHWARELELA PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7216;24,71191;SOL PLAATJIE LOCAL MUNICIPALITY;KIMBERLEY NU;VERGENOEG;MANKURWANE;KIMBERLEY;314 KWENA STREET, IPEL, KIMBERLEY, 8345;Q2;;NO;URBAN;1249;37
300016207;NC;KELEMOGILE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-29,11048333;24,59881667;SIYANCUMA LOCAL MUNICIPALITY;RIET RIVER;.;.;MODDERRIVIER;RESEARCH STATION, AGRICULTURAL RESEARCH STATION, MODDERRIVIER, 8700;Q1;;YES;RURAL;21;2
300016208;NC;LAERSKOOL EUREKA;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,75422;24,74314;SOL PLAATJIE LOCAL MUNICIPALITY;HADISON PARK;.;HADISON PARK;KIMBERLEY;KLISSER ROAD, HADISON PARK, KIMBERLEY, 8306;Q5;;NO;URBAN;809;34
300016210;NC;LAERSKOOL VOORUITSIG;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,75398;24,7613;SOL PLAATJIE LOCAL MUNICIPALITY;LABRAM;.;NEW PARK;KIMBERLEY;WILLIAM GASSON STREET, LABRAM, KIMBERLEY, 8300;Q5;;NO;URBAN;1071;33
300016212;NC;MANKURWANE INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,70684;24,72871;SOL PLAATJIE LOCAL MUNICIPALITY;VERGENOEG EXT 1;VERGENOEG;MANKURWANE;KIMBERLEY;MORALADI STREET, VERGENOEG, KIMBERLEY, 8345;Q2;;NO;URBAN;390;14
300016214;NC;ROODEPAN PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,60626;24,71744;SOL PLAATJIE LOCAL MUNICIPALITY;KIMBERLEY NU;.;PESCODIA;KIMBERLEY;90 STARLING STREET, PESCODIA, ROODEPOORT, 8301;Q3;;NO;URBAN;1436;43
300016215;NC;SOL PLAATJIE PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,71467;24,7335;SOL PLAATJIE LOCAL MUNICIPALITY;GALESHEWE EXT 2;.;GALESHEWE;KIMBERLEY;50 MASHOKO STREET, GALESHEWE, KIMBERLEY, 8345;Q2;;NO;URBAN;1018;38
300016216;NC;ST PETERS PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,70183;24,71933;SOL PLAATJIE LOCAL MUNICIPALITY;VERGENOEG;VERGENOEG;MANKURWANE;KIMBERLEY;12 AMAKHUZANE STREET, MANKURWANE, KIMBERLEY, 8345;Q2;;NO;URBAN;761;23
300016217;NC;VENUS PRIMÊRE SKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,69528;24,73986;SOL PLAATJIE LOCAL MUNICIPALITY;HOMEVALE;.;HOMEVALE;KIMBERLEY;SECOND STREET, HOMEVALE, KIMBERLEY, 8301;Q3;;NO;URBAN;1181;38
300016218;NC;WEST END PRIMARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;PRIMARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,7371;24,74147;SOL PLAATJIE LOCAL MUNICIPALITY;.;.;WEST END;KIMBERLEY;LAKE ROAD, WESTEND, KIMBERLEY, 8301;Q4;;NO;URBAN;981;27
300016219;NC;ZINGISA NO 1 INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,72034;24,73339;SOL PLAATJIE LOCAL MUNICIPALITY;GALESHEWE EXT 2;.;GALESHEWE;KIMBERLEY;62 EXT MONTSHIWA ROAD, GALESHEWE, KIMBERLEY, 8330;Q2;;NO;URBAN;595;20
300016220;NC;SCHMIDTSDRIFT BATHLAPING INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,70252;24,06053;SOL PLAATJIE LOCAL MUNICIPALITY;.;SCHMIDTSDRIFT;.;KIMBERLEY;RURAL AREA, SCHMIDTSDRIFT, KIMBERLEY, 8300;Q1;18-Apr-01;YES;RURAL;269;13
300016301;NC;GRIQUATOWN INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-28,86527;23,26665;SIYANCUMA LOCAL MUNICIPALITY;.;MATLHOMOLA;.;GRIQUATOWN;10 PHILLIPS STREET, MATLHOMOLA, GRIEKWASTAD, 8365;Q2;;YES;RURAL;303;9
300016302;NC;!XUNKHWESA COMBINED SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;COMBINED SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,70804;24,65462;SOL PLAATJIE LOCAL MUNICIPALITY;SCHMIDTSDRIFT;.;PLATFONTEIN;KIMBERLEY;SCHMIDTSDRIFT NEDERSETTING, PLATFONTEIN, KIMBERLEY, 8300;Q1;01-Jan-96;YES;RURAL;1929;56
300016303;NC;STILLWATER INTERMEDIATE SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;INTERMEDIATE SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,4931;24,68898;DIKGATLONG LOCAL MUNICIPALITY;BARKLY WEST NU;PHELINDABA;.;STILLWATER FARM;PHELINDABA LOCATION, PO STILLWATER, KIMBERLEY, 8300;Q1;;YES;RURAL;247;11
300016401;NC;KARRIKAMA HOËRSKOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;PIXLEY KA SEME (PXL);;DOE NORTHERN CAPE;PUBLIC;-28,85088;23,25502;SIYANCUMA LOCAL MUNICIPALITY;.;.;.;GRIEKWASTAD;VOORTREKKER STREET GRIEKWASTAD, 8365;Q2;;YES;RURAL;574;19
300016402;NC;TETLANYO SECONDARY SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,71005;24,72528;SOL PLAATJIE LOCAL MUNICIPALITY;VERGENOEG EXT 5;VERGENOEG;MANKURWANE;KIMBERLEY;DITAKE CRESCENT, MANKURWANE, KIMBERLEY, 8335;Q2;;NO;URBAN;1345;44
300016403;NC;GREENPOINT HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;-28,77855;24,77485;SOL PLAATJIE LOCAL MUNICIPALITY;.;.;GREENPOINT;KIMBERLEY;REDWOOD STREET, GREENPOINT, KIMBERLEY, 8301;Q3;07-Jan-00;NO;URBAN;668;26
300016404;NC;ROODEPAN HIGH SCHOOL;OPEN;PUBLIC;ORDINARY SCHOOL;SECONDARY SCHOOL;ORDINARY SCHOOL;FRANCES BAARD (FB);;DOE NORTHERN CAPE;PUBLIC;;;SOL PLAATJIE LOCAL MUNICIPALITY;.;.;ROODEPAN;KIMBERLEY;Camelia 10;Q3;;NO;UNKNOWN;813;30
